folder_type,subfolder,filename,response,yes_no,explanation
raw,hard_negative,ann_1.png,"No. The cell at the center shows a very dark, condensed, and somewhat irregular nucleus with no clear nuclear membrane, but it lacks distinct chromosome condensation patterns (e.g., star-shaped, V-shaped, or scattered distinct arms) characteristic of active mitosis as per the provided criteria.",no.,"The cell at the center shows a very dark, condensed, and somewhat irregular nucleus with no clear nuclear membrane, but it lacks distinct chromosome condensation patterns (e.g., star-shaped, V-shaped, or scattered distinct arms) characteristic of active mitosis as per the provided criteria."
raw,hard_negative,ann_100.png,"No. The cell at the center has a dark, hyperchromatic appearance but maintains a relatively smooth, intact nuclear boundary without evidence of condensed, organized chromosome arms or the distinct structural configuration of an active mitotic figure.",no.,"The cell at the center has a dark, hyperchromatic appearance but maintains a relatively smooth, intact nuclear boundary without evidence of condensed, organized chromosome arms or the distinct structural configuration of an active mitotic figure."
raw,hard_negative,ann_101.png,"Yes, the cell at the center shows condensed, dark, and irregularly arranged chromatin without a clearly visible nuclear membrane, consistent with chromosomes undergoing mitosis.",yes.,"the cell at the center shows condensed, dark, and irregularly arranged chromatin without a clearly visible nuclear membrane, consistent with chromosomes undergoing mitosis."
raw,hard_negative,ann_102.png,"YES. The cell at the center exhibits densely condensed, irregular chromatin with no discernible nuclear membrane, characteristic features of a mitotic figure where chromosomes are actively separating.",yes.,"The cell at the center exhibits densely condensed, irregular chromatin with no discernible nuclear membrane, characteristic features of a mitotic figure where chromosomes are actively separating."
raw,hard_negative,ann_103.png,"No. The cell at the center is very dark and irregular, but it does not clearly show distinct condensed chromosomes arranged in star-shaped, V-shaped, or scattered patterns with discernible chromosome arms, which are key features for identifying a mitotic figure.",no.,"The cell at the center is very dark and irregular, but it does not clearly show distinct condensed chromosomes arranged in star-shaped, V-shaped, or scattered patterns with discernible chromosome arms, which are key features for identifying a mitotic figure."
raw,hard_negative,ann_104.png,"Yes. The cell at the center displays condensed, dark chromosomes arranged in a star-shaped, chaotic pattern, with no visible nuclear membrane, consistent with active mitosis.",yes.,"The cell at the center displays condensed, dark chromosomes arranged in a star-shaped, chaotic pattern, with no visible nuclear membrane, consistent with active mitosis."
raw,hard_negative,ann_105.png,"NO. The cell at the center has a dark, hyperchromatic, and relatively smooth nuclear appearance, and it lacks the distinct, organized chromosomal structures (such as V-shaped or star-shaped patterns) required to classify it as a mitotic figure.",no.,"The cell at the center has a dark, hyperchromatic, and relatively smooth nuclear appearance, and it lacks the distinct, organized chromosomal structures (such as V-shaped or star-shaped patterns) required to classify it as a mitotic figure."
raw,hard_negative,ann_109.png,"Yes. The central cell displays dense, irregular, clumped chromatin without an intact nuclear membrane, characteristic of the chromosomal condensation seen in an active mitotic figure.",yes.,"The central cell displays dense, irregular, clumped chromatin without an intact nuclear membrane, characteristic of the chromosomal condensation seen in an active mitotic figure."
raw,hard_negative,ann_11.png,"YES. The cell at the center exhibits distinct, dark, condensed chromosomal material arranged in a characteristic V-shape, indicative of a mitotic figure in the process of division.",yes.,"The cell at the center exhibits distinct, dark, condensed chromosomal material arranged in a characteristic V-shape, indicative of a mitotic figure in the process of division."
raw,hard_negative,ann_110.png,"No. The cell at the center shows a very dark, irregular, condensed chromatin mass, but does not clearly display distinct chromosome arms or specific star-shaped, V-shaped, or scattered patterns characteristic of active mitosis.",no.,"The cell at the center shows a very dark, irregular, condensed chromatin mass, but does not clearly display distinct chromosome arms or specific star-shaped, V-shaped, or scattered patterns characteristic of active mitosis."
